Hallo!;Привет!
der Saft; сок
der Apfel;яблоко
die Trauben;виноград
die Orange;апельсин
das Ananas;ананас
die Aprikose;абрикос
der Zucker;сахар
der Reis;рис
die Nudeln;лапша
das Rindfleisch;говядина
das Schweinefleisch;свинина
das Hähnchen;петушок, курица
das Kotelett;котлета
die Zitrone;лимон
die Erbse;горох
das Brötchen;булочка
der Fisch;рыба
die Pirogge;пирожок
das Konfekt;конфета
das Eis;лёд, мороженое
der Nuss;орех
das Ei;яйцо
der Pfirsich;персик
die Tasse;чашка
das Glas;стакан
der Teller;тарелка
der Löffel;ложка
die Gabel;вилка
das Messer;нож
die Untertasse;блюдце
die Flasche;бутылка
die Serviette;салфетка
das Frühstück;завтрак 
das Mittagessen;обед
das Abendessen;ужин
das Flugzeug;самолет
das Auto;автомобиль
die Straßenbahn;трамвай
der Bus;автобус
der Zug;поезд
das Fahrrad;велосипед
die Zeit;время
das Jahr;год
die Woche;неделя
die Stunde;час
die Minute;минута
gestern;вчера
heute;сегодня
morgen;завтра
das Fest;праздник
das Mal;раз
der Tag;день
der Morgen;утро
der Tag;день
der Abend;вечер
die Nacht;ночь
der Montag;понедельник
der Dienstag;вторник
der Mittwoch;среда
der Donnerstag;четверг
der Freitag;пятница
der Samstag;суббота
der Sonntag;воскресенье
der Monat;месяц
der Januar;январь
der Februar;февраль
der März;март
der April;апрель
der Mai;май
der Juni;июнь
der Juli;июль
der August;август
der September;сентябрь
der Oktober;октябрь
der November;ноябрь
der Dezember;декабрь
der Frühling;весна
der Sommer;лето
der Herbst;осень
der Winter;зима
der Name;имя, фамилия
die Adresse;адрес
die Nummer;номер
der Geburtstag;день рождения
verheiratet;женатый/замужняя
die Sache;вещь, дело
der Kugelschreiber;ручка
das Buch;книга
das Schach;шахматы
das Telefon;телефон
die Uhr;часы
der Kamm;расчёска
der Fernseher;телевизор
das Bügeleisen;утюг
die Seife;мыло
das Radio;радио
die Tasche;сумка
die Karte;карта, открытка
der Koffer;чемодан
das Geschenk;подарок
die Kamera;фотоаппарат, видеокамера
der Computer;компьютер
der Film;фильм, плёнка
die Blume;цветок
die Vase;ваза
das Bild;картина
das Handtuch;носовой платок
der Ball;мяч
der Luftballon;воздушный шар(ик)
das Spielzeug;игрушка
die Rechnung;счёт
der Umschlag;конверт
das Papier;бумага
die Zeitung;газета
der Brief;письмо
die Fahrkarte;билет (на поезд)
die Kleidung;одежда
die Schuhe;обувь
der Mantel;пальто
das Kleid;платье
das Hemd;рубашка
der Rock;юбка
der Handschuh;перчатка
der Hut;шляпа
das Sakko;пиджак
die Jacke;куртка
der Schal;шарф
die Socke;носок
der Pullover;свитер
das T-Shirt;футболка
die Kravatte;галстук
die Hose;брюки
was;что
welcher;какой
wer;кто
wo;где
wohin;куда
woher;откуда
wie;как
warum;почему
wann;когда
ich;я
du;ты
ihr;вы
er;он
sie;она, они
es;оно
wir;мы
Sie;Вы
mein;мой
dein;твой
euer;ваш
sein;его
ihr;её, их
unser;наш
aus;из
von;от, передает род. падеж
zu;к
auf;на
unter;под
hinter;позади
mit;с
ohne;без
vor;перед, до
zwischen;между
in;в
neben;возле
nach;после
für;для
eins;один
zwei;два
drei;три
vier;четыре
fünf;пять
sechs;шесть
sieben;семь
acht;восемь
neun;девять
zehn;десять
elf;одиннадцать
zwölf;двенадцать
dreizehn;тринадцать
vierzehn;четырнадцать
fünfzehn;пятнадцать
sechzehn;шестнадцать
siebzehn;семнадцать
achtzehn;восемнадцать
neunzehn;девятнадцать
zwanzig;двадцать
dreißig;тридцать
vierzig;сорок
fünfzig;пятьдесят
sechzig; шестьдесят
siebzig;семьдесят 
achtzig;восемьдесят
neunzig;девяносто
hundert;сто
tausend;тысяча
alt;старый
jung;молодой
neu;новый
groß;большой
klein;маленький
hungrig;голодный
satt;сытый
gut;хороший
schlecht;плохой
früh;ранний
spät;поздний
letzt;последний, прошлый
nächst;следующий
frei;свободный
heiß;жаркий, горячий
warm;тёплый
kalt;холодный
hoch;высокий
niedrig;низкий
lang;длинный, долгий
lange;долго
leicht;лёгкий
schwer;тяжёлый
dunkel;тёмный
teuer;дорогой
billig;дешёвый
links;cлева
rechts;справа
richtig;правильный
schnell;быстрый
langsam;медленный
weich;мягкий
hart;твёрдый
schön;красивый
aufmerksam;внимательный
traurig;печальный
froh;радостный
glücklich;счастливый
fertig;готовый
böse;злой, сердитый
Haupt;основной, главный
schwarz;чёрный
blau;голубой, синий
braun;коричневый
grün;зелёный
grau;серый
rot;красный
weiß;белый
gelb;жёлтый
ja;да
nein;нет
nicht;не
kein;не (перед существительным)
dieser;этот
jener;тот
dass;что (союз)
hier;здесь
dort;там
dorthin;туда
hierher;сюда
jetzt;сейчас, теперь
schon;уже
noch;еще
viele;много (в мн.ч)
viel;много (в ед.ч)
wenige;мало (в мн.ч)
wenig;мало (в ед.ч)
sehr;очень
jeder;каждый
alle;все
alles ;всё
solcher;такой
und;и
oder;или
denn;потому что, так как
sein;быть, являться
haben;иметь
können;мочь (быть в состоянии)
dürfen;мочь (иметь разрешение)
müssen;быть должным (внутренние причины)
sollen;быть должным (внешние причины)
werden;становиться, (для образования буд. времени)
leben;жить
wohnen;проживать
kommen;приходить, приезжать
gehen;идти
fahren;ехать
sehen;видеть
sitzen;сидеть
sagen;сказать
sprechen;разговаривать
stehen;стоять
arbeiten;работать
brechen;ломать
machen;делать, изготовлять
tun;делать, совершать
senden;посылать
kaufen;покупать
schwimmen;плавать
schlafen;спать
wecken;будить
waschen;мыть, cтирать
versuchen;пытаться, пробовать
finden;находить
bringen;приносить, привозить
feiern;праздновать
lächeln;улыбаться
weinen;плакать
kosten;стоить
lernen;учиться
lehren;обучать
schreiben;писать
wechseln;(из)менять
fallen;падать
hören;слушать
zeigen;показывать
siegen;побеждать
denken;думать
schließen;закрывать
öffnen;открывать
wissen;знать
kennen;быть знакомым
singen;петь
tanzen;танцевать
fragen;спрашивать
sammeln;собирать
lieben;любить
mögen;любить (нравится)
malen;рисовать
wählen;выбирать
wollen;хотеть
essen;кушать
trinken;пить
geben;давать
backen;печь
kochen;варить, готовить
schneiden;резать
nehmen;брать
warten;ждать
danken;благодарить
lesen;читать
spielen;играть
antworten;отвечать
brauchen;нуждаться
laufen;бежать
tragen;носить
schenken;дарить
das Lied;песня
die Musik;музыка
die Party;вечеринка
die Größe;размер
das Geld;деньги
das Glück;счастье, удача
der Scherz;шутка
die Überraschung;сюрприз
das Problem;проблема
das Wetter;погода
der Regen;дождь
der Wind;ветер
der Schnee;снег
der Himmel;небо
