Hallo!;Привет!
dieUniversität;университет
dasTheater;театр
dieKirche;церковь
dasRestaurant;ресторан
dasCafe;кафе
dasHotel;гостиница
dieBank;банк
dasKino;кинотеатр
dasKrankenhaus;больница
diePolizei;полиция
dasPostamt;почта
derBahnhof;станция,вокзал
derFlughafen;аэропорт
dasGeschäft;магазин
dieApotheke;аптека
derMarkt;рынок
dasBüro;офис
dieFirma;фирма
derBetrieb;предприятие
dieStraße;улица
derWeg;дорога
dieKreuzung;перекрёсток
dieHaltestelle;остановка
derGehsteig;тротуар
derPfad;тропа,тропинка
derGarten;сад
derPark;парк
dieBrücke;мост
derFluss;река
derWald;лес
dasFeld;поле
derBerg;гора
derSee;озеро
dasMeer;море
derOzean;океан
dieKüste;морскойберег,побережье
derStrand;пляж
derSand;песок
dieInsel;остров
dieGrenze;граница
derZoll;таможня
derMüll;мусор
dieAbfälle;отходы
derStein;камень
diePflanze;растение
derBaum;дерево
dasGras;трава
dieBlume;цветок
dasBlatt;лист
dieWohnung;квартира
dasZimmer;комната
dasWohnzimmer;зал
dasSchlafzimmer;спальня
dasBadezimmer;ванная
dieDusche;душ
dieToilette;туалет
dieKüche;кухня
derFlur;коридор
derBalkon;балкон
derFußboden;пол
dieDecke;потолок,одеяло
dieWand;стена
dieTreppe;лестница
dieTür;дверь
dasFenster;окно
dasFensterbrett;подоконник
dieGardine;занавес(ка),штора
derSchalter;выключатель,окошко(кассы)
dieSteckdose;розетка
derWasserhahn;(водопроводный)кран
dasRohr;труба
derSchornstein;дымоваятруба
dieMöbel;мебель
derTisch;стол
derStuhl;стул
derSessel;кресло
dieCouch[кáуч];диван
dasBett;кровать
derSchrank;шкаф
dasRegal;полка
derSpiegel;зеркало
derTeppich;ковер
derKühlschrank;холодильник
dieMikrowelle;микроволновка
derOfen;печь,духовка
derHerd;кухоннаяплита
dieLebensmittel;еда,продукты
dasBrot;хлеб
dieButter;сливочноемасло
dasÖl;растительноемасло
derKäse;сыр
dieWurst;колбаса
dasWürstchen;сосиска
derSchinken;ветчина
dasFleisch;мясо
dasRindfleisch;говядина
dasSchweinefleisch;свинина
dasLammfleisch;баранина
dasHähnchen;курица(мясо)
dasKotelett;котлета,отбивная
derFisch;рыба
dasEi;яйцо
derSalat;салат
diePilze;грибы
derMais;кукуруза
derBrei;каша
dieHaferflocken;овсянка
dieSuppe;суп
dasbelegteBrötchen;бутерброд
derReis;рис
dieNudeln;лапша
dasMehl;мука
dasGewürz;специя,пряность
derPfeffer;перец
dasSalz;соль
dieZwiebel;лук(репчатый)
derKnoblauch;чеснок
dieSoße;соус
dasGemüse;овощи
dieKartoffeln;картофель
dieMohrrübe;морковь
dieZuckerrübe;свекла
dieTomate;помидор
dieGurke;огурец
derKohl;капуста
dieZucchini[цукини];кабачок
dieAubergine[обэр'жинэ];баклажан
dieBohnen;бобы
dieErbsen;горох
dieNuss;орех
dasObst;фрукты
derApfel;яблоко
dieBirne;груша
dieBanane;банан
dieBeere;ягода
dieErdbeere;клубника,земляника
dieHimbeere;малина
dieKirsche;вишня
diePflaume;слива
dieTrauben;виноград
dieAprikose;абрикос
derPfirsich;персик
dieMelone;дыня
dieWassermelone;арбуз
derKürbis;тыква
dieOrange[орáнжэ];апельсин
dieMandarine;мандарин
dieZitrone;лимон
dieAnanas;ананас
derZucker;сахар
derHonig;мёд
dieMarmelade;варенье
derKuchen-торт,пирог
dasBrötchen;булочка
dasGebäck;печенье
dieSüßigkeiten;конфеты,сладости
dasEis;мороженое,лёд
dieSchokolade;шоколад
dasWasser;вода
dasSodawasser;газировка
derSaft;сок
derWein;вино
derTee;чай
derKaffee;кофе
dieMilch;молоко
dieSahne;сливки
derJoghurt;йогурт
derQuark;творог
dasGeschirr;посуда
dieTasse;чашка
dasGlas;стакан,стекло
derBecher;кружка
derTeller;тарелка
derLöffel;ложка
dieGabel;вилка
dasMesser;нож
dieUntertasse;блюдце
dieFlasche;бутылка
dieServiette;салфетка
derTopf;кастрюля,горшок
diePfanne;сковородка
derKessel;чайник,котел
dieMahlzeit;принятиепищи,еда
dasFrühstück;завтрак
dasMittagessen;обед
dasAbendessen;ужин
derTransport;транспорт
dasFlugzeug;самолет
dasAuto;автомобиль
dieStraßenbahn;трамвай
derBus;автобус
derZug;поезд
dasSchiff;корабль
dasFahrrad;велосипед
dieZeit;время
dieMinute;минута
dieStunde;час
dieWoche;неделя
dasJahr;год
dasJahrhundert;век,столетие
dasMal;раз
vorgestern;позавчера
gestern;вчера
heute;сегодня
morgen;завтра
übermorgen;послезавтра
derTag;день
derMorgen;утро
derNachmittag;времядополудня
derNachmittag;времяпослеполудня
derAbend;вечер
dieNacht;ночь
derMontag;понедельник
derDienstag;вторник
derMittwoch;среда
derDonnerstag;четверг
derFreitag;пятница
derSamstag;суббота
derSonntag;воскресенье
derMonat;месяц
derJanuar;январь
derFebruar;февраль
derMärz;март
derApril;апрель
derMai;май
derJuni;июнь
derJuli;июль
derAugust;август
derSeptember;сентябрь
derOktober;октябрь
derNovember;ноябрь
derDezember;декабрь
dieJahreszeit;времягода
derFrühling;весна
derSommer;лето
derHerbst;осень
derWinter;зима
dasFest;праздник
dasWeihnachten;Рождество
dasOstern;Пасха
derGeburtstag;деньрождения
dasFormular;формуляр,бланк
derName;имя,фамилия,название,
derVorname;имя
derNachname;фамилия
derMädchenname;девичьяфамилия
derGeburtsdatum;датарождения
derGeburtsort;месторождения
dieAdresse;адрес
derFamilienstand;семейноеположение
ledig;холостой,незамужняя
verheiratet;женатый/замужняя
geschieden;разведенный
verwitwet;овдовевший
dieSache;вещь
derKugelschreiber;ручка
derBleistift;карандаш
dasBuch;книга
dasHeft;тетрадь
dasNotizbuch;блокнот
dieNotiz;пометка,запись
dasWörterbuch;словарь
derBuchstabe;буква
derBrief;письмо
derUmschlag;конверт
dasPapier;бумага
dieZeitung;газета
dieZeitschrift;журнал
dasTelefon;телефон
dasHandy[хэнди];сотовыйтелефон
dieUhr;часы
derKamm;расчёска
derFernseher;телевизор
dasBűgeleisen;утюг
dieSeife;мыло
dasRadio;радио
dieTasche;сумка
derRucksack;рюкзак
dieKarte;карта
diePostkarte;открытка
derKoffer;чемодан
dasGeschenk;подарок
dieKamera;камера
derFotoapparat;фотоаппарат
dieVase;ваза
dasTaschentuch;носовойплаток
derBall;мяч
derLuftballon;воздушныйшар(ик)
dasSpielzeug;игрушка
dieFahrkarte;билет(напоезд)
derFahrschein;билет(нагородскойтранспорт)
dasTicket;билет(насамолёт)
dasGepäck;багаж
dieBatterie;батарейка,аккумулятор
dieEimer;ведро
derLeine;веревка
dieTafel;доска(школьная)
dasBrett;доска,брусок
derKalender;календарь
derLaptop[лэптоп];ноутбук
dieBürste;щетка
diePinsel;кисть,кисточка
dieTastatur;клавиатура
dieTaste;клавиша
derSchlüssel;ключ
dasRad;колесо
dasLenkrad;руль
derKofferraum;багажник
dasBenzin;бензин
dieGeldbörse;кошелек
dieBrieftasche;бумажник
dieLampe;лампа
dasLineal;линейка
dieSchaufel;лопата
dieMaschine;машина,механизм
derHammer;молоток
dieSchere;ножницы
dieBrille;очки
dasPaket;посылка
derStock;палка
derKlebstoff;клей
dasHandtuch;полотенце
derDraht;проволока
dasKabel;провод,кабель
dieSeite;страница
dieTaschenlampe;карманныйфонарь
derKasten;ящик
dieKiste;коробка
dasLaken;простыня
dasKissen;подушка
dieKleidung;одежда
dieSchuhe;обувь,туфли
dieStiefel;сапоги
dieTurnschuhe;кроссовки
derMantel;пальто
dasKleid;платье
derAnzug;костюм
dasHemd;рубашка
dieBluse;блузка
derRock;юбка
dieHandschuhe;перчатки
dieFäustlinge;варежки
derHut;шляпа
dieMütze;шапка,кепка
dieJacke;Куртка
dieStrickjacke;кофта
dasSakko;пиджак
derSchal;шарф
dieSocke;носок
derPullover;свитер
dasT-Shirt[тишёрт];футболка
dieKravatte;галстук
dieHose;брюки,штаны
dieShorts[шортс];шорты
dieStrumpfhose;колготки
dieStrümpfe;чулки
dieJeans[джинз];джинсы
dieKapuze;капюшон
derGürtel;ремень
dieUnterwäsche;нижнеебелье
dieUnterhose;трусы
derBüstenhaĺter;бюстгальтер
derKörper;тело
derKopf;голова
dasGesicht;лицо
dieStirn;лоб
dieNase;нос
dasOhr;ухо
derMund;рот
derHals;горло,шея
dasAuge;глаз
dieAugenbraue;бровь
dieLippen;губы
derZahn;зуб
dasHaar;волос(ы)
derSchnurrbart;усы
derBart;борода
dieWange;щека
dasKinn;подбородок
dieSchulter;плечо
dieBrust;грудь
dasHerz;сердце
derBauch;живот
derRücken;спина
dasHandgelenk;запястье
dieHand;рука,кисть(руки)
derArm;рука(вся)
derFinger;палец(руки)
derNagel;ноготь,гвоздь
derEllenbogen;локоть
dasBein;нога
dasKnie;колено
derFuß;нога,ступня,подножие
dieFerse;пятка
dieZehe;палец(ноги)
derKnochen;кость
dieGesundheit;здоровье
gesund;здоровый
krank;больной
dieKrankheit;болезнь
dasFieber;жар,(высокая)температура
derHusten;кашель
derSchnupfen;насморк
niesen;чихать
derSchmerz;боль
dieKopfschmerzen;головнаяболь
wehtun;болеть
dieGrippe;грипп
dieErkältung;простуда
diePrellung;синяк,ушиб
dasEreignis;событие
dieGeburt;рождение
dasSpiel;игра
derUnterricht;занятие(урок)
derUrlaub;отпуск
dieFerien;каникулы
dieParty[пати];вечеринка
dasTreffen;встреча
dieVersammlung;собрание
dieHochzeit;свадьба
dieVerhandlungen;переговоры
dieReise;поездка,путешествие
derTod;смерть
dasWetter;погода
dieSonne;солнце
derMond;луна
derWind;ветер
derNebel;туман
derRegen;дождь
derSchnee;снег
derHimmel;небо
dieWolke;облако
dieLuft;воздух
dieTemperatur;температура
derGrad;градус
dieKunst;искусство
dieMusik;музыка
dasLied;песня
dieLiteratur;литература
dieGeschichte;рассказ,история
derFilm;фильм,пленка
dieSkulptur;скульптура
dasBild;картина
dasFoto;фото
dieWerbung;реклама
derEinkäufe;покупки
dieGröße;размер
derPreis;цена
dasGeld;деньги
dasBargeld;наличные(деньги)
derRabatt;скидка
dasKonto;счет(банковский)
dieRechnung;счёт(дляоплаты)
dasTrinkgeld;чаевые
dasMessen;измерение
dieEntfernung;расстояние
dieDistanz;дистанция
dieLänge;длина
dieHöhe;высота
dieTiefe;глубина
dieStärke;сила
dieGeschwindigkeit;скорость
derKilometer;километр
dasKilogramm;килограмм
dasPfund;фунт
dasGefühl;чувство
derSpaß;веселье
dieFreude;радость
dieAngst;страх
dieTraurigkeit;печаль
dieLeidenschaft;страсть,страстность
dasVergnügen;удовольствие
dasGlück;счастье
derFrieden;мир(покой)
lieben;любить
hassen;ненавидеть
dieWelt;мир(планета)
dieSeele;душа
dasLeben;жизнь
dasWissen;знание
dieAufgabe;задача,задание
dieÜbung;упражнение
dasProblem;проблема
dieGelegenheit;(благоприятная)возможность
dieFähigkeit;способность
dieSchönheit;красота
dieGefahr;опасность
dieErfahrung;опыт
dasGedächtnis;память
dieErinnerung;воспоминание
derNutzen;польза
derVorteil;преимущество
derGewinn;выигрыш,прибыль,доход
dieGewohnheit;привычка
derGrund;причина,грунт,земля
dieKonsequenz;(по)следствие
dieBedeutung;значение
dasMittel;средство
dieAnstrengung;усилие
derErfolg;успех
dasZiel;цель
dasWunder;чудо
dieWissenschaft;наука
dieSprache;язык
dasWort;слово
dasFeuer;огонь
derFall;случай,дело,падение
derUmstand;обстоятельство
derGedanke;мысль
dieWahl;выбор
dieErlaubnis;разрешение
dieLieferung;доставка,поставка
dieLeistung;достижение,успех
diePflicht;обязанность
dieVerzögerung;задержка,промедление
dieBeziehung;отношение
dieNote;оценка,отметка,знак,нота
derFehler;ошибка
dasBenehmen;поведение
dieEinladung;приглашение
dieEntwicklung;развитие
dieEntscheidung;решение,принятиерешения
dieLösung;решение(проблемы)
derRat;совет
dieVereinbarung;соглашение,согласие
derVertrag;договор
dieListe;список
derStreit;спор
derTest;тест,испытание
diePrüfung;экзамен
derSchritt;шаг
dasStück;кусок,штука
derBereich;область,сфера
dasPaar;пара
dieOberfläche;поверхность
dieOrdnung;порядок
dieFrage;вопрос
was;что
wer;кто
wo;где
wohin;куда
woher;откуда
wie;как
welcher;какой
warum;почему
wozu;зачем
wenn;когда,если
wieviel(wieviele);сколько
ich;я
du;т
er;он
sie;она
es;оно
wir;мы
ihr;вы
sie;они
Sie;Вы
mein;мой
dein;твой
sein;его
ihr;её,их
unser;наш
euer;ваш
Ihr;Ваш
aus;из
von;от,передаетрод.падеж,с(такого-то времени)
seit;с(такого-то времениипоныне)
zu;к,слишком
in;в,через(такое-то время)
auf;на
unter;под
hinter;позади
mit;с
ohne;без
vor;перед,до,(столько-то времени)назад
nach;после,в(такой-то городилистрану)
zwischen;между
neben;возле,около
für;для,на(такое-то время)
während;вовремя
um;вокруг
wegen;из-за
über;над,о,свыше
gegen;против
unter;под,среди
durch;через
pro;(километров)в(час)
dieZahl;число,цифра,количество
null;ноль
eins;один
zwei;два
drei;три
vier;четыре
fünf;пять
sechs;шесть
sieben;семь
acht;восемь
neun;девять
zehn;десять
elf;одиннадцать
zwölf;двенадцать
dreizehn;тринадцать
vierzehn;четырнадцать
fünfzehn;пятнадцать
sechzehn;шестнадцать
siebzehn;семнадцать
achtzehn;восемнадцать
neunzehn;девятнадцать
zwanzig;двадцать
dreißig;тридцать
vierzig;сорок
fünfzig;пятьдесят
sechzig;шестьдесят
siebzig;семьдесят
achtzig;восемьдесят
neunzig;девяносто
hundert;сто
tausend;тысяча
dererste;первый
derzweite;второй
derdritte;третий
dervierte;четвертый
dieFarbe;цвет,краска
schwarz;чёрный
blau;голубой,синий
braun;коричневый
grün;зелёный
grau;серый
rot;красный
weiß;белый
gelb;желтый
rosa;розовый
violett;фиолетовый
alt;старый
jung;молодой
neu;новый
groß;большой
riesig;огромный
klein;маленький
dick-толстый,густой
dünn-тонкий
hungrig;голодный
satt;сытый
voll;полный
leer;пустой
gut;хороший,добрый
ausgezeichnet;отличный
erstaunlich;удивительный
wunderschön;прекрасный,чудесный
schlecht;плохой
schrecklich;ужасный
früh;ранний,рано
spät;поздний,поздно
vorig;последний,прошлый
nächst;следующий
frei;свободный
kostenlos;бесплатный
beschäftigt;занятый
heiß;жаркий,горячий
warm;тёплый
kalt;холодный
kühl;прохладный
scharf;острый
stumpf;тупой(нож)
dumm;глупый
klug;умный
schön;красивый
attraktiv;привлекательный
hübsch;симпатичный
hässlich;уродливый,безобразный,отвратительный
hoch;высокий
niedrig;низкий
lang;длинный,долгий
kurz;короткий
schwer;тяжёлый
leicht;лёгкий
schwierig;трудный,тяжелый
einfach;простой
dunkel;тёмный
hell;светлый
teuer;дорогой(оцене)
lieb;дорогой,милый
billig;дешёвый
arm;бедный
reich;богатый
gerade;прямой,прямо
links;cлева
rechts;справа
falsch;неправильный
schnell;быстрый
langsam;медленный
weich;мягкий
hart;твёрдый,жесткий,трудный
traurig;печальный
froh;радостный
glücklich;счастливый
lustig;веселый
böse;сердитый,злой
höflich;вежливый
grob;грубый
zart;нежный
mutig;смелый
feige;трусливый
scheu;застенчивый
fleißig;прилежный
faul;ленивый
nützlich;полезный
nutzlos;бесполезный
stark;сильный,крепкий
schwach;слабый
laut;громкий,шумный
leise;тихий,негромкий
ruhig;тихий,спокойный
eng;узкий
breit;широкий
sauber;чистый
schmutzig;грязный
müde;усталый
ehrlich;честный
bequem;уютный
seltsam;странный
eigen;собственный
schmackhaft;вкусный
bitter;горький
sauer;кислый
salzig;соленый
bereit;готовый(что,тосделать)
fertig;готовый(завершенный)
aufmerksam;внимательный
vorsichtig;осторожный
Haupt...;главный
fähig;способный
notwendig;необходимый
wichtig;важный
sicher;уверенный
echt;настоящий,истинный,правда?
besser;лучше,болеехороший
best;лучший
mehr;больше(поколичеству),более
meist;наибольший(поколичеству)
lieber;лучше,охотней
amliebsten;охотнейвсего
manchmal;иногда
nie;никогда
selten;редко
gewöhnlich;обычно
oft;часто
immer;всегда
bald;скоро
vorkurzem;недавно
weit;далеко
genau-точно
wahrscheinlich;вероятно
vielleicht;можетбыть
wirklich;действительно
natürlich;конечно
sicherlich;наверняка,безусловно
offensichtlich;очевидно
besonders;особенно
gern;охотно
ja;да
nein;нет
nicht;не
dieser;этот
jener-тот
viele;много(в мн.ч)
viel;много(в ед.ч)
wenige;мало(в мн.ч)
wenig;мало(в ед.ч)
einige;некоторые
mehrere;несколько
jemand;кто-то
niemand;никто
etwas;что-то
nichts;ничто
alles;всё
alle;все
hier;здесь
hierher;сюда
dort;там
dorthin;туда
da;тут,таккак
jetzt;сейчас
wieder;снова,опять
dann;потом
damals-тогда
als;чем(присравнении),когда,вкачестве
bereits;уже
nur-только
noch;ещё
fast;почти
sehr;очень
every;каждый
jeder;каждый
anderer;другой
solcher;такой
so;так
also;итак
oben;вверху
unten;внизу
zusammen;вместе
vorwärts;вперед
vorne;впереди
sogar;даже
genug;достаточно
auch-тоже,также
und;и
oder;или
aber;но
jedoch;однако
weil;потомучто,таккак
deshalb;поэтому
ob;ли
obwohl;хотя
dass;что
sein;быть,являться
tun;делать(вообще)
machen;делать(что-то)
haben;иметь
können;мочь(бытьвсостоянии)
dürfen;мочь(иметьразрешение)
wollen;хотеть
mögen;любить,нравиться
möchten;хотелосьбы
müssen;бытьдолжным(повнутреннимпричинам)
sollen;бытьдолжным(повнешнимпричинам)
habenzu;должен(что-тосделать)
seinzu;должен(бытьсделанным)
brauchen;нуждаться
gehen;идти
fahren;ехать
finden;находить
halten;держать,останавливаться
stehen;стоять
sitzen;сидеть
hören;слышать,слушать
gewinnen;побеждать,выигрывать
erhalten;получать(офиц.)
bekommen;получать
kriegen;получать(разг.)
kommen;приходить,приезжать
werden;становиться,передаётбудущеевремя,передаётстрадательныйзалог
laufen;бежать
sehen;видеть
schreiben;писать
fallen;падать
tragen;носить
nehmen;брать
geben;давать
schenken;дарить
entschuldigen;прощать
vergessen;забывать
essen;кушать
liegen;лежать
legen;класть
lügen;лгать
führen;вести
füttern;кормить
sagen;сказать
bezahlen;оплачивать
trinken;пить
schwimmen;плавать
singen;петь
beginnen;начинать
klingen;звенеть
rufen;звать,кричать
anrufen;звонить
sinken;опускаться,погружаться
stinken;вонять
fliegen;летать
wissen;знать
kennen;знать,бытьзнакомым
zeichnen;рисовать,чертить
malen;рисовать
werfen;кидать,бросать
wachsen;расти
blasen;дуть
sprechen;разговаривать,говорить
wählen;выбирать
wecken;будить
brechen;ломать
zeigen;показывать
schneiden;резать
setzen,sich;садиться
kosten;стоить
lassen;позволять,оставлять
schließen;закрывать
schlagen;ударять,бить
lesen;читать
senden;посылать
verbringen;проводить(время)
leihen;одолжить
bauen;строить
fühlen;чувствовать
treffen;встречать,попасть(вцель)
schlafen;спать
verlassen;покидать
kaufen;покупать
bringen;приносить,привозить
lehren;учить,обучать
denken;думать
kämpfen;бороться
fangen;ловить
befürchten;бояться,опасаться
interessieren,sich;интересоваться
überraschen;удивлять
aufstehen;вставать
ziehen;тянуть,перемещаться
anziehen;надевать
ausziehen;снимать(одежду)
leben;жить
wohnen;проживать
arbeiten;работать
fernsehen;смотретьтелевизор
waschen;мыть,cтирать
rasieren,sich;бриться
versuchen;пытаться,пробовать
feiern;праздновать
lächeln;улыбаться
lachen;смеяться
weinen;плакать
lernen;учить(ся)
studieren;учиться(ввузе),изучать
ändern;(из)менять
öffnen;открывать
tanzen;танцевать
fragen;спрашивать
bitten;просить
bieten;предлагать
antworten;отвечать
sammeln;собирать
gefallen;нравиться
kochen;варить,готовить
backen;печь
riechen;пахнуть,нюхать
warten;ждать
erwarten;ожидать
danken;благодарить
spielen;играть
rauchen;курить
wünschen;желать
schreien;кричать
träumen;мечтать,видетьсон
hoffen;надеяться
erinnern,sich;вспоминать
erinnern;напоминать
genießen;наслаждаться,пользоваться
erklären;объяснять
bleiben;оставаться
erholen,sich;отдыхать
abbiegen;повернуть
heben;поднимать
glauben;верить,полагать
helfen;помогать
bestellen;заказывать
befehlen;приказывать
besuchen;посещать
prüfen;проверять
springen;прыгать
reisen;путешествовать
entscheiden;решать,приниматьрешение
lösen;решать(проблему),растворять
stimmen;бытьправильным,верным
zustimmen;соглашаться
retten;спасать
speichern;сохранять,накапливать
sparen;экономить,копить
streiten;спорить
zählen;считать
sorgen,sich;беспокоиться
scherzen;шутить
bewegen,sich;двигаться
passen;соответствовать,подходить
sterben;умирать
beeinflussen;влиять
unterstützen;поддерживать
beschreiben;описывать
bestrafen;наказывать
vorhaben;намереваться
klagen;жаловаться
vermeiden;избегать
zurückkehren;возвращаться
stören;беспокоить,мешать
vorstellen;представлять,знакомить
kennenlernen;узнавать,знакомиться
überzeugen;убеждать
genehmigen;позволять,санкционировать,одобрять
schätzen;ценить
